CID,eta,VoxelCount,Stem,Minkowski_D
0.2222,1.0,904,CID0.2222_eta1.000_N904,2.0
0.2556,0.997,901,CID0.2556_eta0.997_N901,2.0
0.2689,0.995,899,CID0.2689_eta0.995_N899,2.0
0.2756,0.992,899,CID0.2756_eta0.992_N899,2.0
0.2889,0.99,897,CID0.2889_eta0.990_N897,2.0
0.3489,0.987,892,CID0.3489_eta0.987_N892,2.0
0.3556,0.985,891,CID0.3556_eta0.985_N891,2.0
0.3867,0.982,886,CID0.3867_eta0.982_N886,2.0
0.41,0.98,884,CID0.4100_eta0.980_N884,2.0
0.4178,0.962,881,CID0.4178_eta0.962_N881,2.0
0.4256,0.975,880,CID0.4256_eta0.975_N880,2.0
0.4411,0.972,880,CID0.4411_eta0.972_N880,2.0
0.4489,0.97,875,CID0.4489_eta0.970_N875,2.0
0.4722,0.965,873,CID0.4722_eta0.965_N873,2.0
0.4722,0.977,874,CID0.4722_eta0.977_N874,2.0
0.4956,0.95,870,CID0.4956_eta0.950_N870,2.0
0.4956,0.952,871,CID0.4956_eta0.952_N871,2.0
0.5033,0.967,872,CID0.5033_eta0.967_N872,2.0
0.5344,0.96,865,CID0.5344_eta0.960_N865,2.0
0.5344,0.955,865,CID0.5344_eta0.955_N865,2.0
0.5578,0.942,862,CID0.5578_eta0.942_N862,2.0
0.5656,0.937,857,CID0.5656_eta0.937_N857,2.0
0.5733,0.957,861,CID0.5733_eta0.957_N861,2.0046
0.5811,0.94,857,CID0.5811_eta0.940_N857,2.0
0.5889,0.93,860,CID0.5889_eta0.930_N860,2.0046
0.5967,0.947,853,CID0.5967_eta0.947_N853,2.0
0.6044,0.935,850,CID0.6044_eta0.935_N850,2.0
0.6044,0.945,855,CID0.6044_eta0.945_N855,2.0046
0.6433,0.932,847,CID0.6433_eta0.932_N847,2.0046
0.6511,0.92,959,CID0.6511_eta0.920_N959,1.9024
0.6667,0.91,845,CID0.6667_eta0.910_N845,2.0046
0.6744,0.925,836,CID0.6744_eta0.925_N836,2.0
0.6744,0.922,835,CID0.6744_eta0.922_N835,2.0
0.6822,0.927,841,CID0.6822_eta0.927_N841,2.0
0.69,0.917,843,CID0.6900_eta0.917_N843,2.0112
0.69,0.907,837,CID0.6900_eta0.907_N837,2.008
0.7211,0.912,836,CID0.7211_eta0.912_N836,2.0092
0.7444,0.902,827,CID0.7444_eta0.902_N827,2.0
0.7444,0.897,836,CID0.7444_eta0.897_N836,2.018
0.7444,0.884,829,CID0.7444_eta0.884_N829,2.0046
0.7522,0.899,823,CID0.7522_eta0.899_N823,2.0046
0.7522,0.915,823,CID0.7522_eta0.915_N823,2.0
0.76,0.905,826,CID0.7600_eta0.905_N826,2.0046
0.76,0.892,823,CID0.7600_eta0.892_N823,2.0046
0.7678,0.894,832,CID0.7678_eta0.894_N832,2.0146
0.7756,0.882,821,CID0.7756_eta0.882_N821,2.0046
0.8144,0.872,830,CID0.8144_eta0.872_N830,2.0155
0.8222,0.877,1049,CID0.8222_eta0.877_N1049,1.875
0.8222,0.889,805,CID0.8222_eta0.889_N805,2.0
0.83,0.869,917,CID0.8300_eta0.869_N917,1.9349
0.8378,0.887,818,CID0.8378_eta0.887_N818,2.0237
0.8378,0.867,808,CID0.8378_eta0.867_N808,2.0088
0.8378,0.879,941,CID0.8378_eta0.879_N941,1.9738
0.8456,0.862,804,CID0.8456_eta0.862_N804,2.0046
0.8533,0.874,801,CID0.8533_eta0.874_N801,2.0092
0.8711,0.857,798,CID0.8711_eta0.857_N798,2.0092
0.88,0.852,807,CID0.8800_eta0.852_N807,2.0206
0.88,0.864,804,CID0.8800_eta0.864_N804,2.0092
0.8978,0.844,973,CID0.8978_eta0.844_N973,1.9296
0.9067,0.859,902,CID0.9067_eta0.859_N902,1.9349
0.9333,0.847,781,CID0.9333_eta0.847_N781,2.0046
0.9422,0.849,784,CID0.9422_eta0.849_N784,2.0023
0.9511,0.822,890,CID0.9511_eta0.822_N890,1.9633
0.9511,0.854,793,CID0.9511_eta0.854_N793,2.0183
0.96,0.832,1074,CID0.9600_eta0.832_N1074,2.0151
0.9689,0.842,890,CID0.9689_eta0.842_N890,1.9489
0.9689,0.829,786,CID0.9689_eta0.829_N786,2.0092
0.9689,0.839,909,CID0.9689_eta0.839_N909,1.9603
0.9778,0.834,1127,CID0.9778_eta0.834_N1127,1.8169
0.9778,0.824,802,CID0.9778_eta0.824_N802,2.0309
0.9867,0.812,803,CID0.9867_eta0.812_N803,2.0464
0.9867,0.837,793,CID0.9867_eta0.837_N793,2.0304
0.9867,0.827,887,CID0.9867_eta0.827_N887,1.9219
1.0133,0.807,896,CID1.0133_eta0.807_N896,1.9867
1.0133,0.814,785,CID1.0133_eta0.814_N785,2.0202
1.0133,0.817,1059,CID1.0133_eta0.817_N1059,1.9236
1.0222,0.819,884,CID1.0222_eta0.819_N884,1.8862
1.04,0.809,766,CID1.0400_eta0.809_N766,2.0259
1.0489,0.802,783,CID1.0489_eta0.802_N783,2.0307
1.0667,0.774,1044,CID1.0667_eta0.774_N1044,1.9201
1.0667,0.804,974,CID1.0667_eta0.804_N974,1.8529
1.0756,0.766,744,CID1.0756_eta0.766_N744,2.0179
1.0756,0.791,1348,CID1.0756_eta0.791_N1348,1.8655
1.0844,0.769,766,CID1.0844_eta0.769_N766,2.0441
1.0844,0.784,1003,CID1.0844_eta0.784_N1003,2.0236
1.0844,0.796,1064,CID1.0844_eta0.796_N1064,2.0077
1.0933,0.781,1190,CID1.0933_eta0.781_N1190,1.8664
