Run Number ,Toughness [J-m^(-3)],Sample Name ,CID ,Voxel Count ,UYS [kPa],R.2%S [kPa],Net Mass [kg],Effective Density [g-m^(-3)],Specific UYS [kPa-m^3-kg^(-1)],Specific R2S [kPa-m^3-kg^(-1)],Specific Toughness [Pa-m^3-kg^(-1)]
4,257755.9513469760,1,1.3512,5660,489.52752007378400,471.7364162868920,0.0070750000000000000,262.0370370370370,1.868161560705610,1.8002661822962700,983.6622878259140
5,28650.144235807300,2,1.3244,2441,351.5024481879340,299.92055257161400,0.00305125,113.00925925925900,3.1103862682750400,2.653946716733660,253.5203258883400
6,16312.817796886900,3,1.2799,2395,215.2837117513020,144.43249172634600,0.0029937500000000000,110.87962962963000,1.9415984024334600,1.3026061884296700,147.1218640554310
7,7917.713520206700,4,1.2,1510,170.84338717990400,137.9310862223310,0.0018875,69.90740740740740,2.443852425884730,1.9730539486108300,113.2600079711690
8,754.6407978223300,5,1.0578,1081,56.09103732638890,55.901535881890200,0.00135125,50.046296296296300,1.1207829845050900,1.1169964616547900,15.078854054544200
9,41008.27702929790,6,1.3156,3128,311.6463216145830,252.71350436740400,0.00391,144.81481481481500,2.1520334229140000,1.745080464941160,283.17736056036900
10,188014.8233810360,7,1.3244,4389,350.75954861111100,303.9859347873270,0.005486250000000000,203.1944444444450,1.7262260765550200,1.4960346756450800,925.2950979791220
11,213952.2516953990,8,1.3689,5500,504.73225911458300,379.8087904188370,0.006875,254.62962962963000,1.9822212357954500,1.4916127041903400,840.2488430219290
12,44714.33422104770,13,1.3156,2569,280.8224656846790,263.93812391493,0.00321125,118.9351851851850,2.3611386760564700,2.219176129452120,375.9554765179570
13,21076.75635641020,14,1.2268,1785,99.70212300618490,87.18272738986540,0.00223125,82.63888888888890,1.2064794716714800,1.0549842642135000,255.04646347252700
14,200015.45836297900,15,1.3423,4769,335.2157931857640,326.4044867621520,0.00596125,220.7870370370370,1.5182766057480600,1.4783679836574700,905.9202978906140
15,326386.28351784300,16,1.3423,6050,763.1349012586800,598.9945475260410,0.007562500000000000,280.09259259259300,2.724580804493800,2.138559045712810,1165.2799543777500
16,40904.14587298920,17,1.3156,3637,221.28253512912300,220.92663235134600,0.00454625,168.37962962963000,1.3141882757187400,1.3120745831149500,242.92811406559400
17,63908.87260470960,18,1.2799,3454,420.234578,390.391439,0.0043175,159.90740740740700,2.62798694,2.44135932,399.661739508317
18,3434.4414986902900,AF360GD 200N,,3809,227.860599,224.642046,0.004761250000000000,176.34259259259300,1.29214727,1.27389556,19.475961242244800
19,128006.39666263500,AF360GD 1000N,,4059,1120.57265,994.674954,0.00507375,187.9166666666670,5.96313603,5.29317049,681.1870332379690
20,78113.12474598470,4 branches,0.8222,2983,168.96425,162.792257,0.0037287500000000000,138.10185185185200,1.22347563,1.17878402,565.6196763370000
21,26697.461286977100,corner branch,0.4411,1108,156.018745,97.2843848,0.0013850000000000000,51.29629629629630,3.04152065,1.89651869,520.4559240060520
22,30124.025488081800,central branch,0.4178,1488,215.892826,180.399984,0.00186,68.8888888888889,3.13392811,2.61870944,437.2842409560260
23,165395.38870806000,5 branches,0.9688,4305,385.539008,316.519538,0.0053812500000000000,199.30555555555600,1.93441175,1.58811197,829.8583963052500
24,40247.19432318430,2 branches,0.5811,1791,110.286738,80.4022641,0.0022387500000000000,82.91666666666670,1.33009131,0.96967555,485.3932983700620
